family,study_id,namespace,GO_id,term,enrichment,p_raw,study_count,study_n,pop_count,pop_n,p_fdr_bh_family
chemical_by_module,GenX|M2,BP,GO:0006412,translation,e,8.326190659939115e-07,14,53,94,1596,0.0008949293443980722
chemical_by_module,GenX|M2,CC,GO:0022625,cytosolic large ribosomal subunit,e,2.8501500865745833e-10,13,53,46,1692,1.0353713463419024e-06
chemical_by_module,GenX|M2,CC,GO:0015934,large ribosomal subunit,e,9.075419899458439e-10,13,53,50,1692,2.6453911811742527e-06
chemical_by_module,GenX|M2,CC,GO:0044391,ribosomal subunit,e,1.0955498690191265e-07,14,53,85,1692,0.00017663054440141484
chemical_by_module,GenX|M2,CC,GO:0005840,ribosome,e,4.529381303402973e-06,12,53,83,1692,0.003368717264078203
chemical_by_module,GenX|M2,CC,GO:1990904,ribonucleoprotein complex,e,0.00010763818088573371,14,53,149,1692,0.036373800150225684
chemical_by_module,GenX|M2,CC,GO:0045121,membrane raft,e,0.00011593569383340714,5,53,17,1692,0.03763241734144091
chemical_by_module,GenX|M2,CC,GO:0098857,membrane microdomain,e,0.00011593569383340714,5,53,17,1692,0.03763241734144091
chemical_by_module,GenX|M2,MF,GO:0003735,structural constituent of ribosome,e,5.650261909092815e-07,14,53,89,1555,0.0006897315071443237
chemical_by_module,GenX|M2,MF,GO:0005198,structural molecule activity,e,8.904555534298277e-05,14,53,135,1555,0.03124804181223904
chemical_by_module,GenX|M3,BP,GO:0008152,metabolic process,e,6.520827968791487e-05,40,75,465,1469,0.024615387543575194
chemical_by_module,GenX|M3,MF,GO:0003824,catalytic activity,e,3.544720482731574e-08,66,89,703,1537,6.730990953092703e-05
chemical_by_module,GenX|M3,MF,GO:0016491,oxidoreductase activity,e,3.8917230526893044e-08,25,89,136,1537,7.229256282408147e-05
chemical_by_module,GenX|M3,MF,GO:0004497,monooxygenase activity,e,2.0940696910698453e-06,13,89,50,1537,0.0017990290650195888
chemical_by_module,GenX|M3,MF,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",e,1.0321282648637287e-05,13,89,57,1537,0.0061034494234237496
chemical_by_module,GenX|M3,MF,GO:0005506,iron ion binding,e,2.545065243023545e-05,12,89,53,1537,0.012356508663848886
chemical_by_module,GenX|M3,MF,GO:0020037,heme binding,e,7.785274406190837e-05,13,89,68,1537,0.028188466329313724
chemical_by_module,GenX|M3,MF,GO:0046906,tetrapyrrole binding,e,9.140827733731268e-05,13,89,69,1537,0.03175118534282398
chemical_by_module,GenX|M4,MF,GO:0003824,catalytic activity,e,3.4794512107528523e-06,83,113,416,781,0.0026785348309299626
chemical_by_module,GenX|M4,MF,GO:0015020,glucuronosyltransferase activity,e,7.883609483001816e-05,12,113,26,781,0.028377892909521106
chemical_by_module,PFBA|M2,BP,GO:0009062,fatty acid catabolic process,e,1.6499116128145491e-07,6,26,18,1596,0.0002495294201047731
chemical_by_module,PFBA|M2,BP,GO:0072329,monocarboxylic acid catabolic process,e,3.3706944295553694e-07,6,26,20,1596,0.0004603637194656694
chemical_by_module,PFBA|M2,BP,GO:0006631,fatty acid metabolic process,e,1.157851458030548e-06,7,26,38,1596,0.0011437899209593215
chemical_by_module,PFBA|M2,BP,GO:0006635,fatty acid beta-oxidation,e,1.3900477147398224e-06,5,26,14,1596,0.001312473836471386
chemical_by_module,PFBA|M2,BP,GO:0046395,carboxylic acid catabolic process,e,1.6744253038390086e-06,7,26,40,1596,0.0015384817741977564
chemical_by_module,PFBA|M2,BP,GO:0016042,lipid catabolic process,e,1.8754316981538134e-06,6,26,26,1596,0.00166067047555849
chemical_by_module,PFBA|M2,BP,GO:0034440,lipid oxidation,e,2.062092514553617e-06,5,26,15,1596,0.0017888809575873023
chemical_by_module,PFBA|M2,BP,GO:0019395,fatty acid oxidation,e,2.062092514553617e-06,5,26,15,1596,0.0017888809575873023
chemical_by_module,PFBA|M2,BP,GO:0032787,monocarboxylic acid metabolic process,e,3.864093200393419e-06,7,26,45,1596,0.002948078856491227
chemical_by_module,PFBA|M2,BP,GO:0006629,lipid metabolic process,e,3.990128815128926e-06,10,26,112,1596,0.0030172965680385767
chemical_by_module,PFBA|M2,BP,GO:0044282,small molecule catabolic process,e,6.0719035309473235e-06,7,26,48,1596,0.004252796071866257
chemical_by_module,PFBA|M2,BP,GO:0030258,lipid modification,e,1.007203681274124e-05,5,26,20,1596,0.005997564527040645
